metric,statistic,effect_type,fixed_factor,fixed_level,relative_change_percent,ci95_lower_percent,ci95_upper_percent
position,mean,payload_1.6_to_4.5_lb,speed_scale,0.5,9.241201150450262,3.468008662391764,17.26093489242153
position,mean,payload_1.6_to_4.5_lb,speed_scale,1.0,-0.8440143866487615,-6.159882801038242,4.500521546693603
position,mean,speed_0.5_to_1.0,payload_lb,1.6,54.745018612923666,44.5179436442126,66.59668114394479
position,mean,speed_0.5_to_1.0,payload_lb,4.5,40.45886238644299,34.73069778733835,46.36637388488734
position,median,payload_1.6_to_4.5_lb,speed_scale,0.5,8.445763325548894,5.5642157819953075,13.577258866887231
position,median,payload_1.6_to_4.5_lb,speed_scale,1.0,4.4389409804683755,-3.508135473402463,11.207620406892381
position,median,speed_0.5_to_1.0,payload_lb,1.6,18.414203973308062,12.81476027189048,24.293689081720494
position,median,speed_0.5_to_1.0,payload_lb,4.5,14.039070598748737,4.7876017388500225,19.12855491096512
position,p95,payload_1.6_to_4.5_lb,speed_scale,0.5,6.071682214651908,-3.0804489457107342,16.173235044008784
position,p95,payload_1.6_to_4.5_lb,speed_scale,1.0,-0.5343337525887226,-5.2740827128790695,4.406280534603102
position,p95,speed_0.5_to_1.0,payload_lb,1.6,76.90855190734295,65.09663190133837,93.26591167453753
position,p95,speed_0.5_to_1.0,payload_lb,4.5,65.89090144455152,54.87897425573281,77.84982573798658
position,p99,payload_1.6_to_4.5_lb,speed_scale,0.5,9.80977412231514,2.480417573824667,17.782519386011366
position,p99,payload_1.6_to_4.5_lb,speed_scale,1.0,-0.05726912087160585,-4.16468414823089,5.517858373698603
position,p99,speed_0.5_to_1.0,payload_lb,1.6,80.04076588893653,67.06559805305415,94.15492546417248
position,p99,speed_0.5_to_1.0,payload_lb,4.5,63.863061884338364,58.60190589211376,71.92538353274564
orientation,mean,payload_1.6_to_4.5_lb,speed_scale,0.5,24.392954630814945,20.459310795238792,29.299893091456973
orientation,mean,payload_1.6_to_4.5_lb,speed_scale,1.0,7.022811977900489,1.892771161326845,12.404257818937904
orientation,mean,speed_0.5_to_1.0,payload_lb,1.6,34.3963684499311,28.523221629708615,40.560163571697785
orientation,mean,speed_0.5_to_1.0,payload_lb,4.5,15.629356291264607,11.627625060930269,20.885673827057882
orientation,median,payload_1.6_to_4.5_lb,speed_scale,0.5,22.277923176389393,18.8457628769112,26.616171439443946
orientation,median,payload_1.6_to_4.5_lb,speed_scale,1.0,7.701365665262094,1.740763002990331,13.629144523173565
orientation,median,speed_0.5_to_1.0,payload_lb,1.6,16.864245474624596,12.778620353259162,21.1088200343887
orientation,median,speed_0.5_to_1.0,payload_lb,4.5,2.9330439060630598,-3.88296411392548,7.828313277916932
orientation,p95,payload_1.6_to_4.5_lb,speed_scale,0.5,24.579561603055854,20.312117843400436,28.998220451349653
orientation,p95,payload_1.6_to_4.5_lb,speed_scale,1.0,4.781200619760684,-1.2231453996210728,11.792729422440074
orientation,p95,speed_0.5_to_1.0,payload_lb,1.6,58.257204647417524,52.0031257264568,65.68791513325223
orientation,p95,speed_0.5_to_1.0,payload_lb,4.5,33.10674476861237,26.398669276475385,42.20659319522835
orientation,p99,payload_1.6_to_4.5_lb,speed_scale,0.5,21.84126260705559,15.912080332814394,27.80581277085932
orientation,p99,payload_1.6_to_4.5_lb,speed_scale,1.0,1.6057325382621945,-7.3399871326774395,11.254172639774795
orientation,p99,speed_0.5_to_1.0,payload_lb,1.6,62.56643877357821,52.778105759404426,73.19086464198689
orientation,p99,speed_0.5_to_1.0,payload_lb,4.5,35.56722693359102,25.207068527934684,46.910389152055586
